Matt Gardine, 2005

Attached is data which comes from the Geophysical Institute at the 
University of Alaska - Fairbanks.  It is from a flux-gate magnetometer 
stationed in Gakona, Alaska and was taken on March 26, 2005.  The 
starting time is 0:00 UTC, the sampling period is 1 minute, and the 
data set covers 24 hours (1440 samples).

Remote Station:  Gakona, AK -- Narod Flux Gate Magnetometer 
Degrees North Latitude and East Longitude 
Geographic  Latitude  : 62.39300 
Geographic  Longitude : 214.8700
Data for Day  85 of 2005, Mar 26 collected by GIMA - 
Geophysical Institute Magnetometer Array

Minute	H-Comp(nT)	D-Comp(nT)	Z-Comp(nT)

nx1=1440
dx1=60 s
fx1=0 s
f=
708	13972.58	-483.509	54084.58
709	13968.46	-498.404	54075.94
710	13956.62	-509.109	54070.50
711	13943.31	-521.011	54064.55
712	13911.15	-533.036	54060.99
713	13882.52	-537.000	54061.01
714	13885.50	-527.771	54055.39
715	13875.48	-516.093	54048.43
716	13871.44	-516.372	54040.99
717	13870.79	-510.155	54030.79
718	13849.65	-514.270	54019.79
719	13821.47	-518.369	54012.28
720	13798.79	-511.951	54005.78
721	13781.25	-515.720	54002.81
722	13754.77	-514.944	54005.84
723	13757.83	-508.589	54003.76
724	13752.92	-506.965	53997.38
725	13735.44	-514.347	53995.08
726	13746.27	-500.700	53991.84
727	13739.21	-497.684	53982.23
728	13731.35	-493.799	53979.86
729	13715.84	-489.448	53970.87
730	13716.85	-490.165	53974.53
731	13712.38	-490.711	53973.65
732	13694.82	-495.758	53976.98
733	13687.11	-489.144	53978.39
734	13689.62	-484.597	53979.83
735	13696.03	-488.047	53981.09
736	13700.78	-476.617	53988.76
737	13713.15	-469.357	54005.99
738	13741.80	-463.906	54012.53
739	13716.19	-451.374	54020.12
740	13723.39	-444.929	54039.69
741	13762.35	-447.626	54038.88
742	13800.23	-430.955	54041.68
743	13835.88	-424.341	54043.40
744	13862.77	-411.393	54042.86
745	13880.98	-405.904	54042.43
746	13901.84	-390.565	54036.97
747	13921.39	-386.770	54032.37
748	13926.02	-382.933	54026.04
749	13921.93	-379.265	54021.78
750	13916.59	-378.179	54014.56
751	13911.74	-379.781	54009.93
752	13914.83	-382.567	54007.03
753	13902.15	-381.582	54003.37
754	13880.41	-380.661	54002.71
755	13857.93	-384.012	54003.46
756	13843.28	-388.611	54005.11
757	13837.98	-391.553	54007.20
758	13847.91	-398.022	54017.13
759	13848.16	-404.477	54027.70
760	13869.49	-416.006	54045.77
761	13837.52	-419.031	54051.55
762	13813.52	-422.795	54059.91
763	13812.84	-428.722	54069.10
764	13808.41	-436.678	54072.70
765	13820.48	-448.060	54081.37
766	13841.34	-456.840	54086.22
767	13844.91	-466.013	54090.14
768	13869.80	-474.665	54097.21
769	13892.37	-480.334	54102.16
770	13900.68	-486.062	54108.40
771	13893.04	-491.013	54113.42
772	13904.78	-491.467	54118.00
773	13900.57	-490.322	54121.82
774	13900.95	-491.584	54127.12
775	13893.21	-495.961	54129.12
776	13891.87	-505.488	54133.24
777	13879.30	-505.864	54135.19
778	13875.79	-508.281	54140.36
779	13880.90	-506.701	54143.01
780	13893.84	-509.780	54144.06
781	13893.61	-508.240	54147.85
782	13902.04	-502.120	54150.93
783	13897.31	-505.738	54156.50
784	13892.64	-508.992	54168.62
785	13892.12	-517.397	54175.83
786	13885.85	-519.969	54177.20
787	13888.61	-521.687	54179.51
788	13890.07	-526.588	54179.12
789	13880.33	-525.112	54175.04
790	13867.95	-521.584	54176.46
791	13849.04	-528.530	54181.02
792	13835.52	-532.779	54181.88
793	13831.83	-531.493	54187.58
794	13818.58	-534.034	54183.97
795	13811.95	-537.898	54179.22
796	13804.90	-536.502	54173.63
797	13819.52	-528.106	54162.36
798	13830.34	-529.586	54154.09
799	13837.04	-517.101	54144.42
800	13840.88	-517.004	54134.96
801	13851.47	-521.475	54129.43
802	13847.42	-515.969	54119.14
803	13848.34	-499.984	54112.51
804	13863.99	-495.542	54106.65
805	13867.88	-491.612	54099.47
806	13869.78	-477.717	54091.51
807	13883.32	-471.131	54088.10
808	13891.82	-461.435	54084.68
809	13898.89	-458.772	54079.87
810	13912.22	-456.942	54076.58
811	13912.60	-450.566	54076.77
812	13927.22	-447.266	54077.61
813	13937.68	-448.473	54078.70
814	13937.01	-444.089	54079.31
815	13937.00	-438.388	54083.94
816	13942.32	-438.857	54086.13
817	13950.37	-441.149	54086.72
818	13957.41	-444.770	54089.26
819	13966.47	-442.443	54089.19
820	13972.35	-442.292	54091.22
821	13978.60	-442.722	54092.56
822	13981.91	-443.966	54094.64
823	13983.39	-442.478	54097.60
824	13977.87	-440.508	54100.26
825	13974.61	-441.202	54103.68
826	13976.06	-440.545	54107.61
827	13975.96	-440.151	54108.49
828	13970.96	-438.747	54110.90
829	13970.64	-438.524	54112.36
830	13976.17	-440.137	54114.34
831	13971.24	-438.733	54114.84
832	13962.27	-439.719	54116.72
833	13955.51	-440.321	54117.07
834	13942.23	-437.854	54118.58
835	13931.86	-435.685	54119.46
836	13917.77	-434.321	54119.52
837	13911.54	-435.959	54118.76
838	13905.66	-435.718	54114.71
839	13895.91	-437.883	54111.66
840	13892.97	-439.522	54110.72
841	13887.88	-443.368	54108.97
842	13875.22	-450.200	54108.16
843	13875.74	-458.211	54109.94
844	13880.52	-466.049	54109.61
845	13869.38	-470.346	54109.43
846	13860.42	-475.245	54110.22
847	13874.63	-479.638	54110.92
848	13876.42	-479.621	54108.42
849	13877.97	-479.278	54105.29
850	13871.30	-482.289	54101.57
851	13871.20	-480.187	54098.88
852	13881.50	-477.953	54097.62
853	13888.67	-479.291	54095.91
854	13888.13	-479.650	54093.62
855	13888.42	-480.219	54092.54
856	13901.32	-474.045	54093.56
857	13903.34	-472.431	54095.32
858	13903.74	-473.396	54097.97
859	13890.13	-473.107	54101.07
860	13875.76	-475.452	54104.12
861	13881.13	-475.263	54110.82
862	13877.75	-471.945	54117.14
863	13878.49	-471.726	54122.13
864	13874.40	-473.560	54126.00
865	13864.23	-470.412	54131.13
866	13868.49	-471.905	54136.06
867	13874.84	-472.853	54142.61
868	13887.27	-475.474	54147.97
869	13896.86	-479.418	54152.03
870	13897.05	-481.854	54155.05
871	13895.70	-486.316	54161.10
872	13905.61	-490.308	54165.26
873	13913.85	-493.867	54168.73
874	13913.23	-496.661	54173.02
875	13923.52	-500.871	54175.98
876	13929.45	-504.465	54177.89
877	13946.07	-505.664	54179.22
878	13962.26	-506.501	54180.59
879	13969.21	-507.174	54181.92
880	13968.06	-509.462	54182.67
881	13972.09	-512.095	54185.69
882	13989.88	-511.984	54189.75
883	13999.52	-510.538	54192.22
884	13978.89	-511.649	54192.84
885	13985.08	-511.558	54196.92
886	13980.46	-510.257	54196.61
887	13965.21	-511.986	54197.09
888	13942.30	-513.168	54196.53
889	13936.08	-515.422	54198.27
890	13940.83	-513.309	54201.52
891	13953.29	-511.655	54204.34
892	13958.60	-511.498	54200.92
893	13953.97	-515.086	54200.61
894	13960.42	-516.693	54202.90
895	13969.17	-517.966	54202.08
896	13975.99	-520.320	54203.69
897	13973.28	-522.697	54205.86
898	13972.05	-524.211	54207.32
899	13967.22	-522.872	54208.82
900	13969.54	-523.298	54209.95
901	13980.61	-518.760	54211.85
902	14003.43	-513.632	54211.49
903	14002.01	-509.798	54210.76
904	13982.73	-514.365	54212.50
905	13980.54	-515.900	54215.47
906	13982.44	-517.104	54216.32
907	13996.98	-522.570	54215.43
908	14014.96	-517.936	54218.32
909	14027.82	-514.856	54220.73
910	14034.14	-513.627	54221.24
911	14032.90	-516.523	54223.19
912	14033.14	-516.781	54222.32
913	14025.74	-517.330	54224.38
914	14014.35	-520.331	54227.78
915	14007.11	-522.806	54231.11
916	14012.68	-518.536	54232.15
917	14018.23	-515.833	54232.82
918	14021.02	-514.200	54230.75
919	14019.59	-514.021	54231.49
920	14020.08	-513.267	54234.89
921	14020.40	-512.181	54235.28
922	14020.96	-510.456	54236.80
923	14022.25	-509.766	54238.08
924	14020.67	-509.950	54239.56
925	14015.88	-509.835	54239.59
926	14007.50	-506.950	54241.49
927	14013.38	-504.800	54241.32
928	14012.11	-509.749	54241.17
929	14012.85	-509.303	54238.97
930	14006.03	-511.274	54239.35
931	14002.75	-507.327	54242.81
932	14009.93	-502.773	54243.88
933	14015.86	-502.856	54243.29
934	14018.66	-504.229	54242.62
935	14018.02	-507.244	54242.49
936	14014.51	-509.813	54243.43
937	14010.21	-511.752	54245.20
938	14014.18	-507.051	54246.39
939	14017.28	-505.329	54246.09
940	14008.93	-504.295	54246.99
941	14008.28	-501.528	54247.05
942	14011.55	-500.121	54246.71
943	14013.20	-499.382	54245.18
944	14014.21	-500.493	54245.24
945	14007.80	-505.101	54245.26
946	14003.53	-505.575	54246.33
947	14011.14	-501.010	54245.64
948	14017.43	-498.749	54244.47
949	14019.49	-498.712	54243.42
950	14019.63	-497.767	54243.45
951	14020.61	-497.257	54242.54
952	14020.84	-496.173	54242.79
953	14022.61	-493.131	54243.66
954	14023.43	-494.828	54244.43
955	14026.59	-492.216	54244.70
956	14031.22	-490.148	54242.64
957	14035.16	-491.282	54239.15
958	14033.02	-496.407	54241.02
959	14026.21	-496.828	54245.48
960	14026.31	-491.460	54246.62
961	14032.49	-490.426	54243.01
962	14040.95	-489.432	54240.63
963	14046.35	-489.671	54241.69
964	14042.73	-491.265	54243.34
965	14042.55	-493.777	54242.86
966	14047.18	-496.328	54243.97
967	14051.77	-496.510	54244.87
968	14062.59	-495.621	54245.67
969	14070.73	-497.685	54247.03
970	14066.04	-502.461	54247.28
971	14051.01	-507.493	54251.06
972	14054.74	-504.605	54254.98
973	14061.46	-503.084	54256.36
974	14056.97	-502.626	54256.11
975	14051.67	-502.529	54258.07
976	14049.89	-502.198	54260.37
977	14047.16	-502.364	54260.04
978	14040.07	-503.631	54261.81
979	14036.85	-499.863	54264.28
980	14039.50	-497.151	54264.45
981	14042.18	-497.385	54263.43
982	14044.33	-498.523	54262.84
983	14044.09	-498.315	54262.32
984	14043.45	-497.617	54261.92
985	14039.18	-496.475	54261.34
986	14037.32	-494.202	54261.75
987	14039.46	-493.354	54261.38
988	14041.38	-493.059	54260.42
989	14040.65	-493.071	54259.63
990	14039.70	-491.975	54260.94
991	14038.97	-490.107	54260.85
992	14042.62	-488.044	54260.02
993	14046.23	-488.867	54258.81
994	14052.23	-490.684	54258.68
995	14052.34	-492.387	54259.53
996	14052.48	-494.018	54259.41
997	14049.40	-495.633	54261.34
998	14049.60	-493.207	54262.49
999	14051.19	-493.504	54261.92
1000	14051.63	-493.891	54261.94
1001	14051.67	-496.559	54262.69
1002	14049.31	-497.473	54263.84
1003	14044.61	-496.770	54264.57
1004	14041.65	-494.589	54265.08
1005	14039.21	-492.717	54265.83
1006	14044.47	-488.407	54266.08
1007	14046.04	-488.755	54265.05
1008	14050.29	-488.514	54263.81
1009	14046.72	-489.568	54263.67
1010	14052.86	-488.959	54263.90
1011	14055.50	-489.562	54263.54
1012	14054.46	-487.859	54263.21
1013	14058.30	-487.742	54263.45
1014	14054.66	-489.604	54263.46
1015	14056.94	-491.065	54264.20
1016	14052.52	-492.569	54264.63
1017	14049.21	-492.733	54265.56
1018	14045.98	-490.173	54266.23
1019	14048.84	-492.545	54265.78
1020	14047.23	-494.514	54265.50
1021	14044.20	-493.491	54265.86
1022	14045.92	-492.434	54266.32
1023	14045.79	-491.132	54266.04
1024	14049.63	-490.929	54266.10
1025	14050.67	-490.849	54265.90
1026	14051.27	-493.510	54265.39
1027	14051.02	-492.117	54265.30
1028	14051.59	-493.400	54265.61
1029	14052.03	-494.355	54265.60
1030	14052.54	-494.258	54265.65
1031	14053.71	-495.698	54265.68
1032	14049.94	-500.402	54265.69
1033	14048.62	-500.728	54266.16
1034	14039.95	-497.916	54266.22
1035	14044.58	-493.009	54267.02
1036	14043.78	-492.261	54267.02
1037	14046.58	-492.095	54266.45
1038	14048.41	-491.092	54265.73
1039	14055.66	-494.119	54265.64
1040	14052.12	-498.043	54265.05
1041	14047.13	-497.811	54265.45
1042	14049.53	-496.615	54266.63
1043	14047.30	-498.704	54267.32
1044	14041.60	-499.976	54268.02
1045	14040.00	-495.566	54268.91
1046	14045.59	-496.346	54269.11
1047	14042.42	-500.507	54268.06
1048	14037.16	-495.345	54268.78
1049	14041.16	-495.821	54270.02
1050	14038.22	-498.809	54269.39
1051	14037.39	-499.647	54269.41
1052	14036.29	-497.704	54269.63
1053	14034.32	-495.574	54270.18
1054	14034.10	-496.618	54270.56
1055	14033.57	-492.841	54270.71
1056	14039.76	-491.345	54270.10
1057	14040.65	-490.530	54270.10
1058	14043.81	-490.886	54270.03
1059	14040.26	-494.990	54270.41
1060	14036.38	-490.399	54271.29
1061	14039.93	-485.381	54271.54
1062	14049.39	-489.139	54270.76
1063	14049.52	-494.181	54269.71
1064	14047.73	-496.058	54270.48
1065	14046.44	-496.722	54270.69
1066	14044.41	-497.480	54271.27
1067	14046.15	-497.285	54271.66
1068	14047.20	-497.411	54271.98
1069	14046.29	-497.132	54271.65
1070	14051.11	-496.147	54272.29
1071	14054.81	-500.012	54272.42
1072	14051.74	-501.481	54271.61
1073	14049.22	-501.690	54272.83
1074	14048.47	-498.004	54275.01
1075	14053.12	-495.269	54275.80
1076	14052.44	-499.087	54275.93
1077	14047.94	-500.732	54277.07
1078	14047.81	-498.819	54279.33
1079	14051.09	-498.364	54281.17
1080	14049.34	-499.450	54282.45
1081	14051.01	-497.641	54282.52
1082	14048.75	-494.555	54281.26
1083	14043.16	-497.037	54282.48
1084	14041.66	-491.972	54282.84
1085	14042.96	-491.737	54283.42
1086	14047.85	-498.442	54283.00
1087	14045.15	-499.586	54282.02
1088	14045.09	-497.815	54281.90
1089	14047.40	-498.596	54281.91
1090	14050.17	-498.815	54281.95
1091	14047.19	-499.017	54281.39
1092	14046.96	-498.448	54281.62
1093	14045.72	-499.299	54281.88
1094	14044.20	-499.883	54281.90
1095	14043.14	-501.967	54281.50
1096	14039.94	-500.316	54281.02
1097	14039.18	-495.129	54280.33
1098	14042.80	-496.277	54279.88
1099	14042.28	-495.610	54280.15
1100	14047.53	-505.454	54280.70
1101	14049.65	-510.919	54279.70
1102	14042.56	-506.663	54278.86
1103	14036.61	-498.169	54279.88
1104	14035.31	-491.815	54280.62
1105	14031.98	-492.745	54281.52
1106	14030.57	-494.775	54281.88
1107	14031.01	-495.561	54281.57
1108	14032.62	-500.866	54280.46
1109	14031.59	-504.746	54279.87
1110	14032.11	-505.595	54278.50
1111	14032.90	-509.338	54276.89
1112	14031.03	-510.738	54275.61
1113	14032.96	-510.032	54274.36
1114	14037.12	-509.893	54272.50
1115	14037.16	-516.359	54270.78
1116	14030.91	-516.171	54269.72
1117	14030.11	-512.143	54270.06
1118	14028.17	-510.097	54269.27
1119	14024.68	-504.864	54268.55
1120	14030.66	-502.337	54268.43
1121	14029.30	-503.115	54268.07
1122	14031.85	-500.709	54267.14
1123	14036.84	-503.878	54265.69
1124	14030.28	-505.455	54265.10
1125	14039.70	-498.735	54266.08
1126	14049.55	-508.708	54263.76
1127	14034.62	-516.897	54264.00
1128	14038.33	-508.447	54266.18
1129	14042.39	-513.926	54265.53
1130	14033.69	-511.746	54266.62
1131	14035.06	-506.488	54268.22
1132	14032.66	-508.222	54268.93
1133	14032.19	-499.361	54269.96
1134	14042.11	-500.052	54269.78
1135	14036.99	-508.365	54269.39
1136	14031.90	-503.739	54269.75
1137	14041.83	-501.429	54269.73
1138	14033.52	-504.895	54269.17
1139	14035.73	-499.909	54270.01
1140	14036.53	-496.428	54269.17
1141	14031.53	-499.153	54268.59
1142	14037.49	-497.972	54268.37
1143	14036.05	-503.442	54266.58
1144	14021.71	-493.250	54266.01
1145	14024.63	-482.959	54265.78
1146	14043.64	-493.048	54264.95
1147	14047.48	-507.714	54262.31
1148	14040.10	-524.211	54262.95
1149	14036.38	-516.745	54264.39
1150	14042.25	-521.179	54263.94
1151	14025.23	-527.073	54264.86
1152	14022.81	-510.156	54266.22
1153	14030.43	-496.449	54264.36
1154	14030.93	-500.723	54264.26
1155	14031.01	-506.683	54263.78
1156	14033.06	-512.357	54265.06
1157	14034.30	-514.021	54262.24
1158	14037.04	-512.734	54260.95
1159	14033.36	-508.208	54261.57
1160	14041.71	-513.026	54261.30
1161	14042.77	-511.992	54260.55
1162	14040.67	-508.589	54260.98
1163	14040.16	-512.398	54261.42
1164	14031.81	-515.841	54263.13
1165	14031.16	-509.695	54264.16
1166	14033.04	-507.024	54263.84
1167	14035.71	-506.188	54263.35
1168	14036.99	-504.786	54262.69
1169	14031.84	-508.061	54263.29
1170	14035.83	-510.184	54263.43
1171	14030.88	-507.352	54262.95
1172	14034.67	-510.155	54263.15
1173	14032.84	-511.169	54262.96
1174	14032.11	-510.086	54263.37
1175	14039.04	-507.331	54262.65
1176	14043.74	-515.953	54261.05
1177	14026.61	-517.429	54261.59
1178	14025.55	-504.372	54263.00
1179	14038.52	-508.871	54262.25
1180	14037.31	-512.954	54261.01
1181	14027.52	-510.240	54262.05
1182	14035.51	-512.521	54263.40
1183	14036.45	-519.116	54262.21
1184	14020.80	-525.669	54263.08
1185	14013.16	-517.304	54265.56
1186	14023.95	-508.425	54264.56
1187	14030.53	-501.026	54261.98
1188	14032.63	-503.723	54261.11
1189	14031.62	-511.169	54261.99
1190	14033.39	-509.615	54261.86
1191	14029.82	-509.063	54261.83
1192	14026.84	-506.724	54261.81
1193	14027.41	-507.195	54262.28
1194	14029.75	-510.520	54261.99
1195	14029.13	-513.651	54262.76
1196	14028.34	-517.902	54263.62
1197	14022.79	-526.241	54263.96
1198	14015.70	-519.167	54264.59
1199	14025.45	-507.867	54263.74
1200	14037.65	-511.019	54260.15
1201	14028.86	-515.177	54259.99
1202	14030.85	-514.873	54261.35
1203	14033.02	-516.717	54260.49
1204	14030.60	-511.783	54259.91
1205	14035.30	-506.828	54260.05
1206	14036.40	-511.326	54259.67
1207	14028.65	-513.606	54260.77
1208	14036.18	-507.477	54261.66
1209	14039.56	-512.868	54260.95
1210	14034.32	-517.214	54261.18
1211	14032.69	-516.723	54262.21
1212	14030.44	-517.156	54263.04
1213	14029.98	-511.944	54262.86
1214	14037.08	-504.581	54262.85
1215	14042.69	-507.812	54262.70
1216	14036.38	-516.217	54262.77
1217	14029.20	-511.789	54264.67
1218	14033.30	-508.581	54265.41
1219	14034.68	-508.634	54265.05
1220	14037.37	-506.291	54264.59
1221	14039.66	-510.254	54264.92
1222	14034.58	-518.060	54266.08
1223	14034.03	-515.745	54266.57
1224	14027.71	-519.338	54267.50
1225	14027.36	-514.096	54268.03
1226	14026.21	-510.705	54268.01
1227	14027.87	-505.706	54268.31
1228	14032.23	-508.033	54267.83
1229	14028.48	-511.610	54267.21
1230	14022.66	-506.562	54267.91
1231	14027.29	-502.477	54267.97
1232	14033.51	-502.201	54266.74
1233	14036.54	-506.056	54266.26
1234	14031.46	-514.615	54266.90
1235	14025.29	-516.529	54267.41
1236	14020.71	-511.807	54267.20
1237	14026.12	-499.403	54267.05
1238	14031.55	-500.103	54266.41
1239	14041.27	-506.324	54264.58
1240	14032.40	-513.554	54264.58
1241	14035.45	-515.340	54265.33
1242	14029.56	-513.369	54265.73
1243	14028.12	-510.462	54267.25
1244	14033.24	-508.083	54267.25
1245	14031.63	-508.455	54266.41
1246	14028.70	-509.978	54267.27
1247	14032.99	-514.443	54266.89
1248	14032.33	-513.638	54266.13
1249	14026.16	-512.089	54266.61
1250	14027.89	-506.687	54266.81
1251	14038.54	-508.904	54265.10
1252	14033.81	-517.456	54264.54
1253	14027.27	-513.844	54265.19
1254	14030.49	-509.430	54266.16
1255	14031.51	-516.705	54265.28
1256	14025.45	-518.268	54265.55
1257	14028.36	-507.242	54264.67
1258	14037.21	-507.791	54262.68
1259	14033.20	-509.315	54263.03
1260	14032.02	-506.428	54262.62
1261	14025.41	-506.907	54263.98
1262	14026.50	-508.683	54265.14
1263	14028.76	-511.738	54265.09
1264	14026.28	-514.543	54265.11
1265	14026.33	-510.782	54265.55
1266	14029.90	-510.157	54264.88
1267	14025.40	-511.945	54265.30
1268	14026.27	-507.544	54265.89
1269	14032.90	-508.207	54265.33
1270	14029.02	-513.786	54264.73
1271	14023.54	-511.821	54265.95
1272	14023.61	-505.587	54266.88
1273	14024.56	-508.540	54266.53
1274	14027.19	-509.789	54265.72
1275	14030.26	-510.239	54264.13
1276	14023.26	-513.790	54265.10
1277	14013.36	-515.839	54267.04
1278	14012.19	-506.354	54267.82
1279	14024.33	-499.715	54266.62
1280	14036.87	-506.720	54263.79
1281	14035.39	-507.074	54261.94
1282	14028.60	-504.388	54262.90
1283	14024.70	-508.081	54265.32
1284	14028.99	-512.931	54265.46
1285	14028.70	-507.835	54264.54
1286	14029.08	-507.246	54264.91
1287	14031.18	-510.031	54264.91
1288	14028.13	-512.385	54264.90
1289	14024.79	-513.296	54265.88
1290	14025.57	-512.803	54266.28
1291	14027.18	-512.712	54265.97
1292	14023.23	-513.164	54266.27
1293	14020.84	-510.503	54267.43
1294	14020.89	-509.913	54267.81
1295	14028.46	-509.176	54266.93
1296	14031.44	-509.430	54265.00
1297	14028.36	-510.803	54265.26
1298	14027.20	-512.963	54265.98
1299	14028.31	-514.182	54266.10
1300	14029.61	-513.448	54265.60
1301	14030.06	-513.208	54265.29
1302	14028.52	-513.767	54265.38
1303	14027.55	-512.927	54265.68
1304	14027.45	-513.457	54265.70
1305	14028.11	-513.145	54265.49
1306	14029.76	-511.402	54265.03
1307	14031.18	-513.423	54264.52
1308	14029.60	-515.028	54264.50
1309	14027.22	-514.940	54265.01
1310	14027.88	-513.633	54265.13
1311	14029.67	-512.250	54264.43
1312	14029.43	-512.186	54264.00
1313	14028.17	-513.883	54264.30
1314	14027.56	-514.356	54264.36
1315	14029.91	-512.542	54263.80
1316	14029.99	-512.232	54263.17
1317	14030.86	-512.680	54263.12
1318	14029.57	-513.934	54262.97
1319	14029.51	-512.128	54263.37
1320	14033.43	-513.123	54262.80
1321	14031.55	-515.053	54262.36
1322	14031.07	-512.217	54263.01
1323	14036.62	-511.128	54261.69
1324	14036.01	-512.983	54261.08
1325	14031.72	-515.074	54262.12
1326	14028.13	-518.043	54263.53
1327	14028.10	-517.010	54264.02
1328	14026.34	-515.522	54264.14
1329	14025.48	-515.062	54264.39
1330	14028.53	-514.488	54264.10
1331	14029.82	-514.713	54263.43
1332	14028.94	-514.802	54263.12
1333	14028.87	-515.139	54263.29
1334	14028.33	-515.458	54263.35
1335	14027.41	-514.839	54263.45
1336	14027.58	-513.861	54263.59
1337	14026.62	-514.738	54263.76
1338	14027.73	-513.181	54264.04
1339	14030.17	-515.021	54263.17
1340	14029.24	-515.748	54262.86
1341	14029.11	-515.936	54262.95
1342	14026.86	-517.368	54263.30
1343	14026.04	-516.292	54263.74
1344	14028.46	-514.109	54263.23
1345	14029.14	-515.948	54263.07
1346	14029.10	-516.333	54263.11
1347	14029.27	-516.828	54262.86
1348	14029.72	-517.703	54262.97
1349	14026.20	-516.817	54263.22
1350	14023.51	-513.347	54263.61
1351	14026.63	-514.921	54263.84
1352	14031.86	-516.128	54262.54
1353	14031.66	-516.350	54261.63
1354	14028.68	-516.687	54262.06
1355	14028.59	-516.102	54262.29
1356	14029.05	-514.935	54262.10
1357	14030.50	-513.548	54261.89
1358	14032.21	-512.571	54261.56
1359	14031.96	-511.133	54261.53
1360	14031.05	-512.224	54262.16
1361	14032.44	-512.867	54262.61
1362	14034.23	-512.773	54262.35
1363	14033.48	-512.469	54262.67
1364	14034.48	-513.299	54262.97
1365	14035.48	-516.214	54263.02
1366	14033.41	-516.845	54263.31
1367	14033.28	-516.831	54263.68
1368	14032.37	-519.183	54264.47
1369	14031.42	-518.132	54264.83
1370	14031.26	-516.789	54265.05
1371	14030.12	-516.142	54265.63
1372	14032.59	-516.814	54265.53
1373	14032.83	-520.566	54265.29
1374	14032.85	-520.459	54265.01
1375	14032.06	-521.464	54264.99
1376	14032.57	-522.928	54265.41
1377	14036.58	-521.570	54264.64
1378	14038.12	-516.985	54263.41
1379	14034.28	-514.092	54264.06
1380	14028.93	-513.652	54265.70
1381	14030.68	-520.237	54266.89
1382	14038.21	-517.216	54264.67
1383	14040.59	-515.783	54262.78
1384	14031.18	-524.036	54264.32
1385	14025.58	-523.899	54267.02
1386	14021.03	-524.685	54268.22
1387	14023.60	-523.525	54268.76
1388	14027.45	-526.406	54267.28
1389	14033.46	-526.687	54265.41
1390	14038.24	-519.921	54262.18
1391	14039.50	-514.041	54261.44
1392	14036.44	-514.320	54261.84
1393	14027.89	-518.308	54264.25
1394	14027.98	-521.228	54265.90
1395	14032.68	-523.280	54264.95
1396	14034.10	-525.272	54263.85
1397	14038.01	-522.504	54262.59
1398	14041.22	-518.833	54261.32
1399	14045.06	-515.975	54260.51
1400	14043.49	-515.542	54260.57
1401	14036.65	-516.186	54262.22
1402	14033.37	-518.675	54263.97
1403	14031.49	-521.408	54265.08
1404	14028.02	-523.139	54265.84
1405	14027.53	-522.522	54266.06
1406	14029.06	-520.895	54265.74
1407	14027.83	-522.088	54265.55
1408	14024.66	-523.688	54266.08
1409	14023.75	-524.025	54266.38
1410	14023.25	-523.248	54266.18
1411	14023.33	-522.941	54265.94
1412	14022.94	-522.779	54265.65
1413	14021.25	-523.370	54265.82
1414	14021.25	-525.183	54265.87
1415	14023.43	-525.276	54265.21
1416	14025.65	-524.559	54264.20
1417	14026.03	-524.775	54263.74
1418	14026.50	-525.409	54263.60
1419	14025.97	-526.474	54263.57
1420	14024.22	-526.720	54263.92
1421	14022.61	-526.056	54264.34
1422	14024.57	-525.320	54264.34
1423	14027.15	-525.007	54263.63
1424	14028.47	-525.036	54263.16
1425	14027.36	-526.487	54263.56
1426	14026.77	-527.464	54263.88
1427	14025.98	-527.209	54264.15
1428	14024.46	-526.024	54264.48
1429	14026.43	-524.442	54264.46
1430	14027.97	-524.351	54264.02
1431	14027.77	-524.403	54264.02
1432	14028.02	-524.728	54264.24
1433	14027.02	-525.561	54264.66
1434	14027.70	-525.634	54264.61
1435	14026.87	-525.152	54264.70
1436	14026.13	-524.721	54264.90
1437	14025.00	-523.527	54264.87
1438	14023.24	-522.104	54265.09
1439	14024.54	-520.078	54265.09
